stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2NDPK:2,2735,Second & Park (SE Corner),,40.11721167000001,-88.23700667,,https://mtd.org/maps-and-schedules/bus-stops/info/2ndpk-2/,0,,,1,
2NDPK:4,2735,Second & Park (NW Corner),,40.11746333,-88.23713167,,https://mtd.org/maps-and-schedules/bus-stops/info/2ndpk-4/,0,,,1,
3RDDAN:3,4505,Third & Daniel (SW Corner),,40.10789833,-88.23556167,,https://mtd.org/maps-and-schedules/bus-stops/info/3rddan-3/,0,,,1,
3RDDAN:8,4505,Third & Daniel (NW Far Side),,40.10799,-88.23555833,,https://mtd.org/maps-and-schedules/bus-stops/info/3rddan-8/,0,,,1,
4THBIELFELDT:1,8013,Fourth at Bielfeldt (West),,40.09611300000001,-88.23363999999998,,https://mtd.org/maps-and-schedules/bus-stops/info/4thbielfeldt-1/,0,,,1,
4THBIELFELDT:2,8013,Fourth at Bielfeldt (East),,40.096344,-88.233224,,https://mtd.org/maps-and-schedules/bus-stops/info/4thbielfeldt-2/,0,,,1,
4THBRAD:1,2872,Fourth & Bradley (NE Corner),,40.12729667,-88.2337,,https://mtd.org/maps-and-schedules/bus-stops/info/4thbrad-1/,0,,,1,
4THCHAL:1,4752,4th & Chalmers (NE Corner),,40.106838226318359,-88.233322143554659,,https://mtd.org/maps-and-schedules/bus-stops/info/4thchal-1/,0,,,1,
4THCHAL:4,4752,Fourth & Chalmers (NW Corner),,40.106745,-88.23351,,https://mtd.org/maps-and-schedules/bus-stops/info/4thchal-4/,0,,,1,
4THGRG:2,1411,Fourth & Gregory (SE Corner),,40.104095,-88.233226,,https://mtd.org/maps-and-schedules/bus-stops/info/4thgrg-2/,0,,,1,
4THGRG:7,1411,Fourth & Gregory (SW Far Side),,40.10381667,-88.2335,,https://mtd.org/maps-and-schedules/bus-stops/info/4thgrg-7/,0,,,1,
4THKBY:2,6675,Fourth & Kirby (SE Corner),,40.09789700000001,-88.233248,,https://mtd.org/maps-and-schedules/bus-stops/info/4thkby-2/,0,,,1,
4THKBY:4,6675,Fourth & Kirby (NW Corner),,40.09884444,-88.23347222,,https://mtd.org/maps-and-schedules/bus-stops/info/4thkby-4/,0,,,1,
4THKBY:5,6675,Fourth & Kirby (NE Far Side),,40.09881667,-88.23326,,https://mtd.org/maps-and-schedules/bus-stops/info/4thkby-5/,0,,,1,
4THPA:1,6735,Fourth & Pennsylvania (NE Corner),,40.10057900000001,-88.233191,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpa-1/,0,,,1,
4THPA:2,6735,Fourth & Pennsylvania (SE Corner),,40.10041428000001,-88.23329167,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpa-2/,0,,,1,
4THPA:4,6735,Fourth & Pennsylvania (NW Corner),,40.10055161,-88.23345184,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpa-4/,0,,,1,
4THPDY:1,3014,Fourth & Peabody (NE Corner),,40.10150500000001,-88.23325833,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpdy-1/,0,,,1,
4THPDY:2,3014,Fourth & Peabody (SE Corner),,40.10133,-88.23330667,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpdy-2/,0,,,1,
4THPDY:3,3014,Fourth & Peabody (SW Corner),,40.101425,-88.23355333,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpdy-3/,0,,,1,
4THPDY:4,3014,Fourth & Peabody (NW Corner),,40.10160333000001,-88.23346833,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpdy-4/,0,,,1,
4THPDY:5,3014,Fourth & Peabody (NE Far Side),,40.10184667,-88.23332333,,https://mtd.org/maps-and-schedules/bus-stops/info/4thpdy-5/,0,,,1,
4THSMR:4,7424,Fourth & St. Mary's (NW Corner),,40.09468833,-88.23332667,,https://mtd.org/maps-and-schedules/bus-stops/info/4thsmr-4/,0,,,1,
4THSMR:5,7424,Fourth & St. Mary's (NE Far Side),,40.09488333,-88.23319333,,https://mtd.org/maps-and-schedules/bus-stops/info/4thsmr-5/,0,,,1,
5THARY:3,9345,Fifth & Armory (SW Corner),,40.105381,-88.232076,,https://mtd.org/maps-and-schedules/bus-stops/info/5thary-3/,0,,,1,
5THARY:8,9345,Fifth & Armory (NW Far Side),,40.105465,-88.232198,,https://mtd.org/maps-and-schedules/bus-stops/info/5thary-8/,0,,,1,
5THBRD:2,2054,Fifth & Beardsley (SE Corner),,40.12616833,-88.232085,,https://mtd.org/maps-and-schedules/bus-stops/info/5thbrd-2/,0,,,1,
5THBRD:4,2054,Fifth & Beardsley (NW Corner),,40.12637667,-88.23217667,,https://mtd.org/maps-and-schedules/bus-stops/info/5thbrd-4/,0,,,1,
5THCHAL:1,7555,5th & Chalmers (NE Corner),,40.106857299804688,-88.231857299804659,,https://mtd.org/maps-and-schedules/bus-stops/info/5thchal-1/,0,,,1,
5THCLMBA:2,2036,Fifth & Columbia (SE Corner),,40.12108833,-88.23206833,,https://mtd.org/maps-and-schedules/bus-stops/info/5thclmba-2/,0,,,1,
5THCLMBA:4,2036,Fifth & Columbia (NW Corner),,40.12130833,-88.23215333,,https://mtd.org/maps-and-schedules/bus-stops/info/5thclmba-4/,0,,,1,
5THERKA:2,1232,Fifth & Eureka (SE Corner),,40.12508167,-88.23207667,,https://mtd.org/maps-and-schedules/bus-stops/info/5therka-2/,0,,,1,
5THERKA:4,1232,Fifth & Eureka (NW Corner),,40.125265,-88.232164999999981,,https://mtd.org/maps-and-schedules/bus-stops/info/5therka-4/,0,,,1,
5THGRV:2,2337,Fifth & Grove (SE Corner),,40.12302167,-88.23207499999998,,https://mtd.org/maps-and-schedules/bus-stops/info/5thgrv-2/,0,,,1,
5THGRV:4,2337,Fifth & Grove (NW Corner),,40.12324333,-88.23213167,,https://mtd.org/maps-and-schedules/bus-stops/info/5thgrv-4/,0,,,1,
5THWASH:3,5571,5th & Washington (SW Corner),,40.1202,-88.232265,,https://mtd.org/maps-and-schedules/bus-stops/info/5thwash-3/,0,,,1,
5THWASH:4,5571,Fifth & Washington (NW Corner),,40.120345,-88.23214667,,https://mtd.org/maps-and-schedules/bus-stops/info/5thwash-4/,0,,,1,
6THARY:7,2214,Sixth & Armory (SW Far Side),,40.105081,-88.230438,,https://mtd.org/maps-and-schedules/bus-stops/info/6thary-7/,0,,,1,
6THBRAD:1,5422,Sixth & Bradley (NE Corner),,40.12737667,-88.23035,,https://mtd.org/maps-and-schedules/bus-stops/info/6thbrad-1/,0,,,1,
6THBRAD:3,5422,Sixth & Bradley (SW Corner),,40.12725167,-88.23060167,,https://mtd.org/maps-and-schedules/bus-stops/info/6thbrad-3/,0,,,1,
